January,2019,57.8,1383000,35.59,17.5,4.1,20680,3859,60,677,1422
February,2019,57.8,1389000,35.04,16.9,4.1,21110,7383,103,1316,3301
March,2019,58.3,1393000,35.47,16.9,4.1,22370,12034,176,2111,5846
April,2019,59.7,1412000,31.03,17.3,4.2,17560,16074,247,2901,9080
May,2019,60.9,1421000,35.95,17.7,4.2,15720,20308,315,3707,12795
June,2019,61.8,1426000,36.41,18.0,4.2,15140,23881,360,4441,15996
July,2019,62.2,1435000,35.9,18.2,4.1,22700,27652,414,5209,19106
August,2019,61.9,1426000,36.28,18.5,4.1,23400,31201,464,5819,21659
September,2019,61.7,1426000,36.5,18.5,4.1,14450,34883,514,6456,24654
October,2019,60.9,1417000,32.16,18.2,3.9,14340,38724,561,7244,27949
November,2019,60.2,1411000,35.34,17.1,3.9,15270,41516,614,7907,30667
December,2019,59.5,1405000,36.26,15.8,3.9,17600,45776,652,8571,32340
January,2020,59.4,1406000,35.76,15.0,3.8,21380,4124,46,706,1603
February,2020,59.5,1419000,35.22,14.8,3.8,21450,7790,101,1253,4080
March,2020,58.4,1405000,35.2,15.3,3.8,27220,10431,145,1626,6851
April,2020,56.2,1351000,35.93,16.4,4.0,27340,11470,182,1626,7887
May,2020,53.6,1278000,37.34,17.4,4.0,21830,14211,237,1645,9378
June,2020,53.4,1255000,36.54,18.4,4.0,15750,15423,279,1707,12208
July,2020,54.2,1260000,36.26,17.6,5.9,12370,18853,328,1875,15785
August,2020,55.5,1279000,35.66,17.2,5.9,8900,24809,370,2200,19150
September,2020,56.5,1284000,36.21,16.9,5.9,5650,29898,408,2612,22705
October,2020,57.8,1298000,34.63,17.5,7.4,86940,33797,454,2978,26219
November,2020,58.4,1320000,35.81,18.2,7.4,90480,36095,490,3305,29251
December,2020,58.1,1333000,36.63,17.9,7.4,104580,39075,536,3609,31964
January,2021,57.4,1345000,36.42,17.6,9.4,119670,3400,36,294,2665
February,2021,56.7,1348000,34.47,16.7,9.4,123890,6386,68,558,6406
March,2021,56.3,1365000,36.17,16.2,9.4,112800,9245,93,948,11536
April,2021,56.9,1369000,36.16,16.0,10.2,120680,11913,128,1239,16230
May,2021,57.6,1364000,36.75,16.0,10.2,118170,15254,163,1563,20348
June,2021,58.2,1348000,36.63,16.2,10.2,105540,18856,196,1887,24198
Humber River-Black Creek
York Centre
Willowdale
University-Rosedale
Beaches-East York
Scarborough Southwest
Scarborough-Rouge Park
Scarborough North
Scarborough-Guildwood
Scarborough Centre
Scarborough-Agincourt
Scarborough East
Don Valley West
Toronto-St. Paul's
Parkdale-High Park
Etobicoke North
Etobicoke-Lakeshore
Etobicoke Centre
Eglinton-Lawrence
Don Valley North
Don Valley East
Davenport
Toronto Centre
York South-Weston
Toronto-Danforth
Spadina-Fort York
York West
Trinity-Spadina
111,"Agriculture, forestry, fishing and hunting",Crop production
112,"Agriculture, forestry, fishing and hunting",Animal production and aquaculture
113,"Agriculture, forestry, fishing and hunting",Forestry and logging
114,"Agriculture, forestry, fishing and hunting","Fishing, hunting and trapping"
115,"Agriculture, forestry, fishing and hunting",Support activities for agriculture and forestry
211,"Mining, Quarrying, and Oil and Gas Extraction",Oil and gas extraction
212,"Mining, Quarrying, and Oil and Gas Extraction",Mining and quarrying (except oil and gas)
213,"Mining, Quarrying, and Oil and Gas Extraction","Support activities for mining, and oil and gas extraction"
221,Utilities,Utilities
236,Construction,Construction of buildings
237,Construction,Heavy and civil engineering construction
238,Construction,Specialty trade contractors
311,Manufacturing,Food manufacturing
312,Manufacturing,Beverage and tobacco product manufacturing
313,Manufacturing,Textile mills
314,Manufacturing,Textile product mills
315,Manufacturing,Clothing manufacturing
316,Manufacturing,Leather and allied product manufacturing
321,Manufacturing,Wood product manufacturing
322,Manufacturing,Paper manufacturing
323,Manufacturing,Printing and related support activities
324,Manufacturing,Petroleum and coal product manufacturing
325,Manufacturing,Chemical manufacturing
326,Manufacturing,Plastics and rubber products manufacturing
327,Manufacturing,Non-metallic mineral product manufacturing
331,Manufacturing,Primary metal manufacturing
332,Manufacturing,Fabricated metal product manufacturing
333,Manufacturing,Machinery manufacturing
334,Manufacturing,Computer and electronic product manufacturing
335,Manufacturing,"Electrical equipment, appliance and component manufacturing"
336,Manufacturing,Transportation equipment manufacturing
337,Manufacturing,Furniture and related product manufacturing
339,Manufacturing,Miscellaneous manufacturing
411,Wholesale Trade,Farm product merchant wholesalers
412,Wholesale Trade,Petroleum and petroleum products merchant wholesalers
413,Wholesale Trade,"Food, beverage and tobacco merchant wholesalers"
414,Wholesale Trade,Personal and household goods merchant wholesalers
415,Wholesale Trade,Motor vehicle and motor vehicle parts and accessories merchant wholesalers
416,Wholesale Trade,Building material and supplies merchant wholesalers
417,Wholesale Trade,"Machinery, equipment and supplies merchant wholesalers"
418,Wholesale Trade,Miscellaneous merchant wholesalers
419,Wholesale Trade,"Business-to-business electronic markets, and agents and brokers"
441,Retail Trade,Motor vehicle and parts dealers
442,Retail Trade,Furniture and home furnishings stores
443,Retail Trade,Electronics and appliance stores
444,Retail Trade,Building material and garden equipment and supplies dealers
445,Retail Trade,Food and beverage stores
446,Retail Trade,Health and personal care stores
447,Retail Trade,Gasoline stations
448,Retail Trade,Clothing and clothing accessories stores
451,Retail Trade,"Sporting goods, hobby, book and music stores"
452,Retail Trade,General merchandise stores
453,Retail Trade,Miscellaneous store retailers
454,Retail Trade,Non-store retailers
481,Transportation and Warehousing,Air transportation
482,Transportation and Warehousing,Rail transportation
483,Transportation and Warehousing,Water transportation
484,Transportation and Warehousing,Truck transportation
